date,code,open,close,amount
2022-07-29,sh.601858,7.9100,7.6800,307149643.7000
2022-07-29,sh.601860,2.8800,2.8200,1536359332.6000
2022-07-29,sh.601865,38.2500,41.0900,11063627111.2700
2022-07-29,sh.601866,3.0000,2.8100,3128053352.8100
2022-07-29,sh.601868,2.3700,2.2900,8951113121.2800
2022-07-29,sh.601869,30.9200,33.0500,2444825953.7700
2022-07-29,sh.601872,5.7400,6.9200,12285909342.7200
2022-07-29,sh.601877,35.7600,36.7000,29076583200.7200
2022-07-29,sh.601878,11.4200,10.7000,9235997752.1300
2022-07-29,sh.601880,1.7000,1.6900,2064690039.7600
2022-07-29,sh.601881,9.6900,8.6900,2219382697.9800
2022-07-29,sh.601882,20.6300,23.2900,1900402776.9600
2022-07-29,sh.601886,8.4300,7.9400,2583462674.7100
2022-07-29,sh.601888,229.1000,209.9000,55023438424.9100
2022-07-29,sh.601890,7.7400,10.1400,10422474713.8300
2022-07-29,sh.601898,10.2500,8.7400,7559095911.2700
2022-07-29,sh.601899,9.3300,8.9300,45384999637.3500
2022-07-29,sh.601900,8.1400,7.8600,296670066.0300
2022-07-29,sh.601901,6.7100,6.5700,2450092074.1500
2022-07-29,sh.601908,8.3200,9.0800,36032993264.7900
2022-07-29,sh.601916,3.3200,3.2400,1335128959.5000
2022-07-29,sh.601918,5.0800,4.8700,4537419371.3200
2022-07-29,sh.601919,13.8400,13.7200,36746883015.9300
2022-07-29,sh.601921,7.7800,7.6300,289004714.2500
2022-07-29,sh.601928,7.1500,6.5700,1057744286.5800
2022-07-29,sh.601929,2.0400,1.9800,1366246685.9300
2022-07-29,sh.601933,4.2500,3.4700,6150710655.2100
2022-07-29,sh.601939,6.0700,5.5700,9782400081.5800
2022-07-29,sh.601949,4.8200,4.6200,410213106.5100
2022-07-29,sh.601952,14.1900,13.1800,3778349154.6700
2022-07-29,sh.601956,6.4200,7.4100,2060302837.8200
2022-07-29,sh.601958,9.1200,8.6900,4815709621.4000
2022-07-29,sh.601963,7.9400,7.3700,604382433.8300
2022-07-29,sh.601965,16.2100,16.6000,1648062932.9600
2022-07-29,sh.601966,25.3000,28.7200,9085679982.1400
2022-07-29,sh.601968,7.7500,8.5800,712310944.6900
2022-07-29,sh.601969,8.5000,8.2200,2756185124.6000
2022-07-29,sh.601975,3.9800,3.6000,14618301963.3100
2022-07-29,sh.601985,6.8800,6.1700,17922638011.9300
2022-07-29,sh.601988,3.2600,3.0600,9283041706.7800
2022-07-29,sh.601989,3.7100,3.7600,5914432654.3500
2022-07-29,sh.601990,8.3500,7.9800,2375089649.4700
2022-07-29,sh.601991,2.4200,2.8200,6921480302.8400
2022-07-29,sh.601992,2.7800,2.6300,1397797684.4000
2022-07-29,sh.601995,44.4000,42.4100,7363915123.1400
2022-07-29,sh.601996,2.9700,3.0500,829511441.0200
2022-07-29,sh.601997,5.8100,5.6000,1647701148.4700
2022-07-29,sh.601998,4.7500,4.3600,2305424965.4900
2022-07-29,sh.601999,5.8900,5.7700,348319937.7400
2022-07-29,sh.603000,11.4100,10.6500,1107909163.4600
2022-07-29,sh.603001,7.4200,7.4800,255384357.9200
2022-07-29,sh.603002,5.6100,5.9200,952132551.8100
2022-07-29,sh.603003,7.4000,7.9200,1418932492.4700
2022-07-29,sh.603005,28.0800,23.7500,23531336665.8800
2022-07-29,sh.603006,9.1500,10.2600,824334625.7400
2022-07-29,sh.603007,3.8200,4.3500,665196789.0100
2022-07-29,sh.603008,36.7300,29.7000,3009012316.7100
2022-07-29,sh.603009,7.0800,8.6100,3948391394.7800
2022-07-29,sh.603010,18.4700,16.9400,2404514563.1700
2022-07-29,sh.603011,6.7400,8.0300,3457026603.9100
2022-07-29,sh.603012,5.9000,6.5000,1520998633.8000
2022-07-29,sh.603013,13.8200,16.4900,1449937744.1200
2022-07-29,sh.603015,7.6900,9.8000,6864798330.5600
2022-07-29,sh.603016,21.6400,21.5200,557649264.8200
2022-07-29,sh.603017,9.2500,9.3200,440267259.1200
2022-07-29,sh.603018,9.5000,9.1200,3663991880.3500
2022-07-29,sh.603019,29.2000,28.8000,9729582726.2300
2022-07-29,sh.603020,10.5900,10.2200,764511521.2200
2022-07-29,sh.603021,5.1800,5.2300,360178089.0100
2022-07-29,sh.603022,9.1100,9.5700,254804455.4900
2022-07-29,sh.603023,4.6600,4.9100,1151805701.8300
2022-07-29,sh.603025,21.8300,21.4900,1606933973.0900
2022-07-29,sh.603026,145.3500,137.8500,21492532472.7900
2022-07-29,sh.603027,17.3300,15.6200,4982194382.8000
2022-07-29,sh.603028,8.8400,10.2700,1767441337.8800
2022-07-29,sh.603029,12.0000,12.7300,659503684.1300
2022-07-29,sh.603030,3.0600,3.1400,2292085433.8100
2022-07-29,sh.603031,41.8300,44.9700,761803703.2000
2022-07-29,sh.603032,78.8800,85.2700,3729589811.6500
